"name","region","country","date","Value"
Confirmed Cases,Europe & Central Asia,Greece,2021-03-01 00:00:00,1170.0000
Confirmed Cases,Latin America & The Caribbean,Grenada,2021-03-01 00:00:00,0.0000
Confirmed Cases,Latin America & The Caribbean,Guatemala,2021-03-01 00:00:00,111.0000
Confirmed Cases,Sub-Saharan Africa,Guinea,2021-03-01 00:00:00,13.0000
Confirmed Cases,Sub-Saharan Africa,Guinea-Bissau,2021-03-01 00:00:00,0.0000
Confirmed Cases,Latin America & The Caribbean,Guyana,2021-03-01 00:00:00,10.0000
Confirmed Cases,Latin America & The Caribbean,Haiti,2021-03-01 00:00:00,18.0000
Confirmed Cases,Europe & Central Asia,Holy See,2021-03-01 00:00:00,0.0000
Confirmed Cases,Latin America & The Caribbean,Honduras,2021-03-01 00:00:00,681.0000
Confirmed Cases,Europe & Central Asia,Hungary,2021-03-01 00:00:00,4326.0000
Confirmed Cases,Europe & Central Asia,Iceland,2021-03-01 00:00:00,5.0000
Confirmed Cases,South Asia,India,2021-03-01 00:00:00,12286.0000
Confirmed Cases,East Asia & Pacific,Indonesia,2021-03-01 00:00:00,6680.0000
Confirmed Cases,Middle East & North Africa,Iran,2021-03-01 00:00:00,8510.0000
Confirmed Cases,Middle East & North Africa,Iraq,2021-03-01 00:00:00,3599.0000
Confirmed Cases,Europe & Central Asia,Ireland,2021-03-01 00:00:00,681.0000
Confirmed Cases,Middle East & North Africa,Israel,2021-03-01 00:00:00,4151.0000
Confirmed Cases,Europe & Central Asia,Italy,2021-03-01 00:00:00,13106.0000
Confirmed Cases,Latin America & The Caribbean,Jamaica,2021-03-01 00:00:00,336.0000
Confirmed Cases,East Asia & Pacific,Japan,2021-03-01 00:00:00,688.0000
Confirmed Cases,Middle East & North Africa,Jordan,2021-03-01 00:00:00,6068.0000
Confirmed Cases,Europe & Central Asia,Kazakhstan,2021-03-01 00:00:00,681.0000
Confirmed Cases,Sub-Saharan Africa,Kenya,2021-03-01 00:00:00,152.0000
Confirmed Cases,East Asia & Pacific,"Korea, South",2021-03-01 00:00:00,341.0000
Confirmed Cases,Europe & Central Asia,Kosovo,2021-03-01 00:00:00,0.0000
Confirmed Cases,Middle East & North Africa,Kuwait,2021-03-01 00:00:00,1179.0000
Confirmed Cases,East Asia & Pacific,Kyrgyzstan,2021-03-01 00:00:00,57.0000
Confirmed Cases,East Asia & Pacific,Laos,2021-03-01 00:00:00,0.0000
Death Cases,Europe & Central Asia,Holy See,2021-03-01 00:00:00,0.0000
Death Cases,Latin America & The Caribbean,Haiti,2021-03-01 00:00:00,0.0000
